continent,sector,market_cap,probability
Oceania,Consumer Staples,Nano Cap,0.0007324814844958086
Oceania,Consumer Staples,Small Cap,0.0004340631019234421
Oceania,Energy,Large Cap,0.00013564471935107567
Oceania,Energy,Micro Cap,0.0005290144054691951
Oceania,Energy,Mid Cap,0.00027128943870215135
Oceania,Energy,Nano Cap,0.0013564471935107567
Oceania,Energy,Small Cap,0.00023059602289682862
Oceania,Financials,Large Cap,0.0009630775073926372
Oceania,Financials,Micro Cap,0.0009359485635224221
Oceania,Financials,Mid Cap,0.0005697078212745178
Oceania,Financials,Nano Cap,0.0008003038441713464
Oceania,Financials,Small Cap,0.0007596104283660237
Oceania,Health Care,Large Cap,0.00031198285450747404
Oceania,Health Care,Micro Cap,0.0014242695531862944
Oceania,Health Care,Mid Cap,0.00018990260709150593
Oceania,Health Care,Nano Cap,0.001939719486720382
Oceania,Health Care,Small Cap,0.0008409972599766691
Oceania,Industrials,Large Cap,0.0001220802474159681
Oceania,Industrials,Micro Cap,0.0010851577548086054
Oceania,Industrials,Mid Cap,0.0005697078212745178
Oceania,Industrials,Nano Cap,0.0010444643390032826
Oceania,Industrials,Small Cap,0.000596836765144733
Oceania,Information Technology,Large Cap,0.00017633813515639837
Oceania,Information Technology,Micro Cap,0.001125851170613928
Oceania,Information Technology,Mid Cap,0.00018990260709150593
Oceania,Information Technology,Nano Cap,0.0015463498006022625
Oceania,Information Technology,Small Cap,0.0007596104283660237
Oceania,Materials,Large Cap,0.0008545617319117766
Oceania,Materials,Micro Cap,0.005140934863405768
Oceania,Materials,Mid Cap,0.0010308998670681751
Oceania,Materials,Nano Cap,0.008152247632999647
Oceania,Materials,Small Cap,0.0020753642060714578
Oceania,Real Estate,Large Cap,0.00010851577548086053
Oceania,Real Estate,Micro Cap,0.0002577249667670438
Oceania,Real Estate,Mid Cap,0.000406934158053227
Oceania,Real Estate,Nano Cap,0.0002577249667670438
Oceania,Real Estate,Small Cap,0.0004476275738585497
Oceania,Utilities,Large Cap,0.00017633813515639837
Oceania,Utilities,Micro Cap,9.495130354575297e-05
Oceania,Utilities,Mid Cap,0.00042049862998833456
Oceania,Utilities,Nano Cap,0.0002577249667670438
Oceania,Utilities,Small Cap,1.3564471935107566e-05
South America,Communication Services,Large Cap,8.13868316106454e-05
South America,Communication Services,Micro Cap,1.3564471935107566e-05
South America,Communication Services,Mid Cap,0.0001220802474159681
South America,Communication Services,Nano Cap,8.13868316106454e-05
South America,Communication Services,Small Cap,0.00023059602289682862
South America,Consumer Discretionary,Large Cap,0.00010851577548086053
South America,Consumer Discretionary,Micro Cap,0.00033911179837768917
South America,Consumer Discretionary,Mid Cap,0.0002034670790266135
South America,Consumer Discretionary,Nano Cap,0.0004747565177287648
South America,Consumer Discretionary,Small Cap,0.0005832722932096253
South America,Consumer Staples,Large Cap,0.0002441604948319362
South America,Consumer Staples,Micro Cap,0.00017633813515639837
South America,Consumer Staples,Mid Cap,0.00023059602289682862
